ID_Comanda,estat,impostos,preu_final,data_realitzacio,ID_Client,ID_Venedor,ID_Localitzacio
,suscipit a,9,665.11,2010-06-13,1,2035,1
,commodo placerat,6,734.09,2010-03-06,2,2047,2
,dapibus,32,873.58,2019-02-07,3,2047,3
,vivamus,46,496.99,2012-09-13,4,2060,4
,elit,8,821.17,2018-09-04,5,2072,5
,at,4,418.24,2013-07-08,6,2033,6
,condimentum,12,395.11,2016-05-31,7,2085,7
,sapien arcu sed,3,235.93,2020-11-28,8,2085,8
,sapien quis libero,18,894.37,2018-05-14,9,2055,9
,nunc,16,975.18,2018-06-27,10,2054,10
,in lectus,30,945.6,2016-12-20,11,2075,11
,suscipit nulla elit,47,96.12,2013-01-05,12,2099,12
,vel accumsan,35,523.74,2014-11-18,13,2075,13
,sed justo pellentesque,43,476.32,2016-01-02,14,2040,14
,consectetuer adipiscing elit,8,138.38,2020-08-18,15,2051,15
,habitasse,12,580.58,2018-12-21,16,2062,16
,primis,18,390.34,2013-02-07,17,2007,17
,vestibulum,25,756.4,2019-09-18,18,2028,18
,lorem id ligula,39,356.94,2012-12-11,19,2012,19
,ut at dolor,10,234.89,2018-05-06,20,2080,20
,donec,39,385.7,2020-03-17,21,2004,21
2079,vestibulum eget vulputate,48,956.06,2014-09-07,22,2045,22
,augue,39,164.32,2015-09-01,23,2023,23
,aliquet at,46,110.98,2019-12-13,24,2040,24
,elit ac nulla,23,171.99,2020-12-03,25,2022,25
,sapien,18,965.82,2017-08-25,26,2090,26
,velit,35,823.04,2011-09-24,27,2012,27
,aliquam non mauris,15,731.63,2013-08-22,28,2085,28
,mauris,1,895.05,2020-01-28,29,2009,29
,sem praesent id,30,415.17,2020-10-18,30,2094,30
,vestibulum,15,738.39,2015-03-20,31,2060,31
,eget,32,851.77,2020-11-10,32,2085,32
,id consequat,29,211.34,2010-05-18,33,2088,33
,pretium,28,633.29,2018-02-15,34,2045,34
,sit,3,993.32,2015-01-27,35,2043,35
,dapibus duis,25,639.81,2019-06-24,36,2087,36
,nec nisi vulputate,12,805.24,2018-03-07,37,2072,37
,leo,6,800.21,2013-02-17,38,2005,38
,sed sagittis,6,648.52,2018-07-29,39,2072,39
,suspendisse potenti nullam,23,718.98,2015-12-07,40,2073,40
,justo sollicitudin ut,19,980.76,2019-01-07,41,2014,41
,ipsum ac tellus,49,220.47,2019-01-13,42,2010,42
,risus dapibus,15,526.64,2019-05-22,43,2032,43
,in faucibus,17,670.88,2019-12-19,44,2018,44
,eget tincidunt eget,34,266.31,2017-06-03,45,2038,45
,hac,24,575.31,2019-01-11,46,2066,46
,odio,48,337.2,2014-07-08,47,2033,47
