ID_Empleat,titol_treball,dies_vacances,dies_malalties,ID_Sou,ID_Departament,ID_Horari
3001,Compensation Analyst,27,6,29,7,3
3002,Cost Accountant,,19,12,7,48
3003,Budget/Accounting Analyst I,38,19,7,3,5
3004,Engineer II,,17,28,1,12
3005,Administrative Assistant I,,17,33,2,43
3006,Administrative Officer,,6,33,1,2
3007,Developer II,40,13,43,12,49
3008,Staff Accountant II,36,28,32,10,48
3009,Director of Sales,,27,30,3,36
3010,Physical Therapy Assistant,41,12,38,4,31
3011,Senior Cost Accountant,31,26,47,11,40
3012,Operator,,15,12,12,10
3013,Operator,,5,49,10,31
3014,Programmer II,,15,35,1,10
3015,Computer Systems Analyst IV,27,22,20,2,22
3016,Desktop Support Technician,28,13,25,9,14
3017,Legal Assistant,36,6,3,5,38
3018,Financial Analyst,,26,8,2,15
3019,GIS Technical Architect,,4,23,1,46
3020,Professor,,9,32,6,25
3021,Environmental Tech,,12,18,1,31
3022,Financial Advisor,50,5,48,10,45
3023,VP Quality Control,21,1,45,4,1
3024,Accountant II,,1,42,11,15
3025,Senior Financial Analyst,,3,26,3,29
3026,Dental Hygienist,,25,38,7,35
3027,Director of Sales,,19,3,1,45
3028,Legal Assistant,,4,42,4,26
3029,Professor,,9,36,6,17
3030,Software Test Engineer III,48,17,15,1,42
3031,Statistician II,,15,1,2,2
3032,Budget/Accounting Analyst II,26,11,13,7,25
3033,Payment Adjustment Coordinator,,8,30,10,33
3034,Accountant IV,42,2,7,7,50
3035,Web Developer IV,43,19,14,11,40
3036,Junior Executive,,5,42,7,46
3037,Software Test Engineer IV,50,24,14,12,1
3038,Geologist III,,9,30,3,9
3039,Dental Hygienist,20,21,42,1,41
3040,Research Nurse,,1,48,3,47
3041,Product Engineer,,14,15,3,42
3042,Financial Advisor,,11,39,4,39
3043,Product Engineer,,5,48,12,46
3044,Senior Financial Analyst,,2,45,6,36
3045,Executive Secretary,,12,17,2,19
3046,Software Engineer III,33,3,16,10,32
3047,Cost Accountant,,26,21,5,43
3048,Paralegal,26,5,24,11,5
3049,Programmer Analyst I,,2,22,6,1
3050,Office Assistant IV,26,19,19,8,49
3051,Web Developer III,24,6,30,8,42
3052,Programmer Analyst III,,18,21,4,22
3053,Structural Engineer,,2,11,9,27
3054,Business Systems Development Analyst,,5,35,11,3
3055,Nurse Practicioner,38,16,46,5,1
3056,Computer Systems Analyst II,,8,17,2,44
3057,Web Developer IV,26,26,12,11,15
3058,Recruiter,45,9,5,11,31
3059,Recruiter,,25,42,2,39
3060,Product Engineer,,15,20,12,34
3061,Chief Design Engineer,38,4,3,8,28
3062,Recruiting Manager,34,1,40,4,25
3063,Social Worker,44,14,4,4,24
3064,Senior Cost Accountant,,1,3,3,15
3065,VP Accounting,,16,13,7,36
3066,Analog Circuit Design manager,,18,16,3,50
3067,Help Desk Technician,,27,41,9,33
3068,Electrical Engineer,37,6,27,11,12
3069,Pharmacist,48,6,39,1,44
3070,Dental Hygienist,,5,48,12,32
3071,Biostatistician IV,,26,33,3,7
3072,Speech Pathologist,,4,43,10,37
3073,Media Manager II,,8,48,9,3
3074,Marketing Assistant,,2,42,5,12
3075,Software Engineer I,,18,43,1,14
3076,Information Systems Manager,,25,20,6,27
3077,Accountant I,,28,19,3,47
3078,Financial Advisor,,20,15,4,48
3079,Marketing Assistant,26,24,23,2,13
3080,Graphic Designer,25,23,38,10,23
3081,Analyst Programmer,,1,23,7,44
3082,Systems Administrator IV,45,16,4,1,29
3083,Chemical Engineer,,2,40,9,32
3084,Pharmacist,41,12,46,7,11
3085,Help Desk Operator,,20,11,5,25
3086,Health Coach II,,23,18,1,5
3087,Civil Engineer,,11,16,8,12
3088,Chief Design Engineer,,15,10,5,29
3089,Senior Editor,,5,32,9,29
3090,Marketing Manager,25,4,22,1,50
3091,Database Administrator III,,18,21,1,17
3092,Senior Financial Analyst,,30,31,5,4
3093,Administrative Assistant I,,12,43,5,49
3094,Assistant Professor,43,4,19,1,44
3095,Developer I,,30,30,10,36
3096,Database Administrator II,,25,4,4,39
3097,Dental Hygienist,26,2,13,5,18
3098,Account Executive,,29,23,6,46
3099,General Manager,,13,15,4,16
3100,Office Assistant II,,28,28,3,27
3101,Paralegal,,12,11,12,39
3102,Civil Engineer,46,12,19,4,28
3103,Internal Auditor,,7,47,8,12
3104,Database Administrator I,,11,38,8,7
3105,Compensation Analyst,39,10,20,8,20
3106,Nurse,45,9,35,5,27
3107,Project Manager,,6,36,11,20
3108,Data Coordiator,34,24,29,1,49
3109,Design Engineer,,20,41,2,16
3110,Web Developer IV,26,3,15,6,30
