ID_Article,preu,descompte,ID_Client,ID_Comanda,review,estrelles,ID_ArticleClient
599,77.57,26,697,599,t,1,633
1422,55.94,38,861,1422,t,4,634
2477,80.43,46,697,2477,t,2,635
380,92.14,18,697,380,t,1,636
381,63.64,30,697,381,t,4,637
383,81.38,14,697,383,tt,4,638
384,74.74,41,697,384,t,3,639
386,63.5,23,697,386,t,5,640
387,27.66,50,697,387,tt,1,641
389,41.57,43,697,389,t,2,642
1031,41.57,43,2165,4,t,2,643
1032,41.57,43,2164,4,t,2,644
1033,41.57,43,2092,4,t,2,645
1034,41.57,43,1,4,t,2,646
