ID_Vehicle,ID_Magatzem,ID_Localitzacio
1,8,2846
2,20,2530
3,10,2516
4,14,2960
5,21,2899
6,5,2950
7,24,2840
8,18,2929
9,16,2867
10,16,2938
11,13,2692
12,6,2817
13,24,2551
14,14,2643
15,1,2773
16,26,2562
17,14,2738
18,4,2697
19,8,2879
20,30,2865
21,10,2839
22,29,2600
23,14,2672
24,9,2611
25,16,2594
26,1,2856
27,5,2856
28,11,2777
29,21,2856
30,19,2781
31,2,2976
32,8,2853
33,24,2959
34,14,2965
35,19,2595
36,1,2979
37,8,2781
38,30,2703
39,11,2905
40,6,2524
41,7,2848
42,3,2527
43,27,2510
44,1,2795
45,5,2686
46,14,2720
47,24,2537
48,16,2628
49,24,2757
50,21,2810
51,8,2945
52,4,2538
53,22,2530
54,1,2705
55,25,2844
56,23,2880
57,16,2999
58,16,2846
59,8,2607
60,12,3000
61,28,2731
62,22,2753
63,2,2859
64,21,2617
65,9,2943
66,2,2540
67,6,2792
68,23,2540
69,25,2757
70,22,2862
71,24,2580
72,5,2677
73,25,2982
74,5,2723
75,5,2711
76,4,2672
77,22,2816
78,2,2861
79,5,2711
80,4,2812
81,23,2591
82,21,2794
83,10,2524
84,1,2501
85,2,2757
86,9,2533
87,8,2921
88,10,2914
89,28,2549
90,24,2564
91,28,2904
92,6,2544
93,20,2751
94,17,2763
95,12,2580
96,6,2789
97,28,2638
98,9,2617
99,13,2832
100,20,2614
101,5,2810
102,14,2940
103,2,2830
104,21,2712
105,29,2901
106,23,2500
107,16,2832
108,20,2668
109,24,2679
110,11,2955
111,1,2729
112,16,2708
113,18,2803
114,30,2953
115,6,2925
116,3,2882
117,2,2836
118,27,2998
119,27,2908
120,25,2867
121,5,2709
122,9,2858
123,14,2864
124,27,2936
125,19,2647
126,30,2628
127,18,2507
128,10,2650
129,3,2664
130,6,2621
131,27,2924
132,1,2982
133,11,2999
134,26,2934
135,18,2689
136,10,2940
137,28,2990
138,20,2640
139,14,2507
140,27,2662
141,24,2963
142,25,2865
143,13,2909
144,25,2667
145,12,2691
146,19,2871
147,29,2841
148,15,2550
149,21,2771
150,23,2868
151,14,2523
152,2,2930
153,11,2961
154,1,2884
155,23,2699
156,10,2920
157,1,2945
158,8,2597
159,6,2651
160,3,2791
161,16,2858
162,4,2995
163,18,2770
164,3,2782
165,13,2704
166,2,2763
167,30,2963
168,8,2867
169,5,2750
170,14,2719
171,22,2713
172,18,2501
173,3,2592
174,19,2754
175,8,2621
176,4,2567
177,20,2981
178,14,2605
179,16,2671
180,25,2511
181,25,2655
182,19,2599
183,19,2666
184,27,2776
185,11,2651
186,17,2663
187,17,2679
188,21,2566
189,18,2658
190,21,2767
191,4,2862
192,14,2809
193,15,2920
194,10,2563
195,20,2520
196,19,2805
197,7,2585
198,21,2729
199,16,2958
200,15,2998
201,29,2838
202,19,2794
203,25,2554
204,13,2769
205,21,2875
206,19,2937
207,14,2841
208,10,2772
209,23,2791
210,19,2575
211,25,2947
212,9,2947
213,24,2852
214,4,2777
215,10,2595
216,30,2759
217,12,2818
218,9,2839
219,25,2969
220,27,2912
221,27,2877
222,12,2505
223,19,2720
224,29,2774
225,13,2887
226,20,2721
227,25,2593
228,17,2873
229,23,2977
230,9,2679
231,18,2665
232,13,2866
233,18,2651
234,15,2623
235,20,2730
236,20,2699
237,7,2987
238,18,2704
239,7,2920
240,9,2827
241,4,2837
242,20,2585
243,14,2656
244,28,2835
245,22,2576
246,14,2790
247,10,2920
248,25,2943
249,7,2524
250,28,2942
251,4,2559
252,26,2534
253,28,2855
254,4,2988
255,11,2868
256,4,2721
257,16,2778
258,12,2677
259,20,2947
260,9,2577
261,30,2896
262,4,2933
263,16,2982
264,25,2562
265,23,2539
266,9,2621
267,18,2734
268,15,2640
269,20,2839
270,20,2669
271,13,2911
272,22,2551
273,9,2745
274,16,2791
275,30,2670
276,7,2893
277,24,2524
278,29,2536
279,4,2941
280,30,2928
281,20,2884
282,1,2835
283,18,2732
284,14,2509
285,21,2968
286,22,2780
287,15,2973
288,28,2542
289,28,2918
290,22,2523
291,4,2729
292,22,2791
293,1,2543
294,5,2915
295,27,2742
296,2,2687
297,28,2841
298,5,2915
299,7,2787
300,17,2898
301,8,2875
302,16,2913
303,16,2839
304,9,2524
305,23,2898
306,20,2904
307,27,2940
308,24,2527
309,29,2741
310,23,2853
311,9,2936
312,12,2566
313,27,2886
314,13,2918
315,12,2713
316,18,2778
317,1,2815
318,16,2601
319,25,2770
320,5,2749
321,5,2606
322,18,2570
323,25,2890
324,17,2893
325,25,2730
326,24,2803
327,29,2691
328,7,2909
329,1,2976
330,24,2758
331,12,2749
332,14,2903
333,29,2684
334,14,2941
335,29,2513
336,13,2636
337,19,2636
338,28,2597
339,3,2655
340,22,2797
341,13,2965
342,2,2834
343,29,2573
344,3,2964
345,15,2860
